"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18502","Test Checkout Split MK Moto Recurrent User","","Wed Jan 28 21:06:05 UTC 2026","failed","Wed Jan 28 21:06:23 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","38824","Test Checkout Split ST BT MK Guest User","","Wed Jan 28 21:00:36 UTC 2026","failed","Wed Jan 28 21:01:14 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","19023","Test Checkout Split ST BT MK Moto Recurrent User","","Wed Jan 28 21:07:14 UTC 2026","failed","Wed Jan 28 21:07:33 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","21287","Test Checkout Split ST BT Moto New User","","Wed Jan 28 21:04:37 UTC 2026","failed","Wed Jan 28 21:04:58 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27557","Test Checkout Split ST Moto Guest User","","Wed Jan 28 21:01:55 UTC 2026","passed","Wed Jan 28 21:02:22 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","20399","Test Checkout Split MK New User","","Wed Jan 28 20:59:53 UTC 2026","failed","Wed Jan 28 21:00:14 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","35632","Test Checkout Split Siman Guest User","","Wed Jan 28 20:57:58 UTC 2026","passed","Wed Jan 28 20:58:34 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","20340","Test Checkout Split MK Moto New User","","Wed Jan 28 21:05:44 UTC 2026","failed","Wed Jan 28 21:06:05 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","18792","Test Checkout Split BT Moto Recurrent User","","Wed Jan 28 21:03:50 UTC 2026","failed","Wed Jan 28 21:04:09 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","21803","Test Checkout Split MK Recurrent User","","Wed Jan 28 21:00:14 UTC 2026","failed","Wed Jan 28 21:00:36 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","21070","Test Checkout Split ST Moto New User","","Wed Jan 28 21:02:22 UTC 2026","failed","Wed Jan 28 21:02:43 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","27073","Test Checkout Split BT Moto Guest User","","Wed Jan 28 21:03:02 UTC 2026","passed","Wed Jan 28 21:03:29 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","29227","Test Checkout Split ST BT MK Moto Guest User","","Wed Jan 28 21:06:23 UTC 2026","passed","Wed Jan 28 21:06:53 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","26417","Test Checkout Split MK Moto Guest User","","Wed Jan 28 21:05:18 UTC 2026","passed","Wed Jan 28 21:05:44 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","28104","Test Checkout Split ST BT Moto Guest User","","Wed Jan 28 21:04:09 UTC 2026","passed","Wed Jan 28 21:04:37 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","20682","Test Checkout Split ST BT MK New User","","Wed Jan 28 21:01:14 UTC 2026","failed","Wed Jan 28 21:01:35 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","19713","Test Checkout Split ST BT MK Recurrent User","","Wed Jan 28 21:01:35 UTC 2026","failed","Wed Jan 28 21:01:55 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","19507","Test Checkout Split ST BT Moto Recurrent User","","Wed Jan 28 21:04:58 UTC 2026","failed","Wed Jan 28 21:05:18 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","21275","Test Checkout Split BT Moto New User","","Wed Jan 28 21:03:29 UTC 2026","failed","Wed Jan 28 21:03:50 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","20994","Test Checkout Split ST BT MK Moto New User","","Wed Jan 28 21:06:53 UTC 2026","failed","Wed Jan 28 21:07:14 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","39152","Test Checkout Split MK Guest User","","Wed Jan 28 20:59:14 UTC 2026","failed","Wed Jan 28 20:59:53 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","20499","Test Checkout Split Siman New User","","Wed Jan 28 20:58:34 UTC 2026","failed","Wed Jan 28 20:58:54 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","19811","Test Checkout Split Siman Recurrent User","","Wed Jan 28 20:58:54 UTC 2026","failed","Wed Jan 28 20:59:14 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","793662","Test Checkout Small Ticket New User","","Wed Jan 28 20:44:45 UTC 2026","failed","Wed Jan 28 20:57:58 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
"","18425","Test Checkout Split ST Moto Recurrent User","","Wed Jan 28 21:02:44 UTC 2026","failed","Wed Jan 28 21:03:02 UTC 2026","Flujos Checkout Guest User","Siman Automation - sandbox","",""
